Percentage served,Time in ms
0,258.938
1,258.938
2,275.764
3,275.764
4,275.764
5,275.764
6,277.049
7,277.049
8,277.049
9,277.049
10,277.412
11,277.412
12,277.412
13,277.412
14,282.751
15,282.751
16,282.751
17,282.751
18,284.402
19,284.402
20,284.402
21,284.402
22,284.669
23,284.669
24,284.669
25,284.669
26,294.929
27,294.929
28,294.929
29,294.929
30,295.752
31,295.752
32,295.752
33,295.752
34,296.346
35,296.346
36,296.346
37,296.346
38,309.750
39,309.750
40,309.750
41,309.750
42,318.317
43,318.317
44,318.317
45,318.317
46,344.454
47,344.454
48,344.454
49,344.454
50,349.820
51,349.820
52,349.820
53,349.820
54,350.500
55,350.500
56,350.500
57,350.500
58,357.426
59,357.426
60,357.426
61,357.426
62,367.382
63,367.382
64,367.382
65,367.382
66,369.274
67,369.274
68,369.274
69,369.274
70,381.826
71,381.826
72,381.826
73,381.826
74,402.136
75,402.136
76,402.136
77,402.136
78,432.170
79,432.170
80,432.170
81,432.170
82,470.191
83,470.191
84,470.191
85,470.191
86,473.908
87,473.908
88,473.908
89,473.908
90,494.457
91,494.457
92,494.457
93,494.457
94,543.917
95,543.917
96,543.917
97,543.917
98,94235126626.672
99,94235126626.672
100,543.917
